"col0","col1","col2","col3"
"__x64_sys_process_vm_readv","/linux-6.6/kernel/sys_ni.c",291,218
"__x64_sys_process_vm_readv","/linux-6.6/kernel/sys_ni.c",291,293
"__x64_sys_process_vm_readv","/linux-6.6/mm/process_vm_access.c",218,218
"__x64_sys_process_vm_readv","/linux-6.6/mm/process_vm_access.c",218,293
"__x64_sys_process_vm_readv","/linux-6.6/mm/process_vm_access.c",291,218
"__x64_sys_process_vm_readv","/linux-6.6/mm/process_vm_access.c",291,293
"__put_unaligned_cpu64","/linux-6.6/include/linux/unaligned/packed_struct.h",40,44
"__put_unaligned_cpu64","/linux-6.6/tools/include/linux/unaligned/packed_struct.h",41,45
"__ia32_sys_landlock_add_rule","/linux-6.6/kernel/sys_ni.c",169,169
"__ia32_sys_landlock_add_rule","/linux-6.6/kernel/sys_ni.c",169,307
"__ia32_sys_landlock_add_rule","/linux-6.6/kernel/sys_ni.c",305,169
"__ia32_sys_landlock_add_rule","/linux-6.6/kernel/sys_ni.c",305,307
"__ia32_sys_landlock_add_rule","/linux-6.6/security/landlock/syscalls.c",169,169
"__ia32_sys_landlock_add_rule","/linux-6.6/security/landlock/syscalls.c",169,307
"__ia32_sys_landlock_add_rule","/linux-6.6/security/landlock/syscalls.c",305,169
"__ia32_sys_landlock_add_rule","/linux-6.6/security/landlock/syscalls.c",305,307
"crc_t10dif","/linux-6.6/lib/crc-t10dif.c",86,89
"__ia32_sys_landlock_create_ruleset","/linux-6.6/kernel/sys_ni.c",157,159
"__ia32_sys_landlock_create_ruleset","/linux-6.6/kernel/sys_ni.c",157,168
"__ia32_sys_landlock_create_ruleset","/linux-6.6/kernel/sys_ni.c",168,159
"__ia32_sys_landlock_create_ruleset","/linux-6.6/kernel/sys_ni.c",168,168
"__ia32_sys_landlock_create_ruleset","/linux-6.6/security/landlock/syscalls.c",157,159
"__ia32_sys_landlock_create_ruleset","/linux-6.6/security/landlock/syscalls.c",157,168
"__ia32_sys_landlock_create_ruleset","/linux-6.6/security/landlock/syscalls.c",168,159
"__ia32_sys_landlock_create_ruleset","/linux-6.6/security/landlock/syscalls.c",168,168
"polyval_mul_non4k","/linux-6.6/crypto/polyval-generic.c",87,97
"__ia32_sys_quotactl_fd","/linux-6.6/fs/quota/quota.c",70,70
"__ia32_sys_quotactl_fd","/linux-6.6/fs/quota/quota.c",70,974
"__ia32_sys_quotactl_fd","/linux-6.6/fs/quota/quota.c",973,70
"__ia32_sys_quotactl_fd","/linux-6.6/fs/quota/quota.c",973,974
"__ia32_sys_quotactl_fd","/linux-6.6/kernel/sys_ni.c",70,70
"__ia32_sys_quotactl_fd","/linux-6.6/kernel/sys_ni.c",70,974
"__ia32_sys_quotactl_fd","/linux-6.6/kernel/sys_ni.c",973,70
"__ia32_sys_quotactl_fd","/linux-6.6/kernel/sys_ni.c",973,974
"__x64_compat_sys_sendmmsg","/linux-6.6/kernel/sys_ni.c",217,217
"__x64_compat_sys_sendmmsg","/linux-6.6/kernel/sys_ni.c",217,365
"__x64_compat_sys_sendmmsg","/linux-6.6/kernel/sys_ni.c",364,217
"__x64_compat_sys_sendmmsg","/linux-6.6/kernel/sys_ni.c",364,365
"__x64_compat_sys_sendmmsg","/linux-6.6/net/compat.c",217,217
"__x64_compat_sys_sendmmsg","/linux-6.6/net/compat.c",217,365
"__x64_compat_sys_sendmmsg","/linux-6.6/net/compat.c",364,217
"__x64_compat_sys_sendmmsg","/linux-6.6/net/compat.c",364,365
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/kernel/sys_ni.c",201,201
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/kernel/sys_ni.c",201,407
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/kernel/sys_ni.c",405,201
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/kernel/sys_ni.c",405,407
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/net/compat.c",201,201
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/net/compat.c",201,407
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/net/compat.c",405,201
"__x64_compat_sys_recvmmsg_time64","/linux-6.6/net/compat.c",405,407
"__x64_compat_sys_rt_tgsigqueueinfo","/linux-6.6/kernel/signal.c",4083,4087
"__serpent_decrypt","/linux-6.6/crypto/serpent_generic.c",517,566
"sm4_crypt_block","/linux-6.6/crypto/sm4.c",160,180
"__ia32_sys_mount_setattr","/linux-6.6/fs/namespace.c",4629,4631
"crc_t10dif_generic","/linux-6.6/crypto/crct10dif_common.c",70,78
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/fs/eventpoll.c",62,62
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/fs/eventpoll.c",62,2429
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/fs/eventpoll.c",2424,62
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/fs/eventpoll.c",2424,2429
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/kernel/sys_ni.c",62,62
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/kernel/sys_ni.c",62,2429
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/kernel/sys_ni.c",2424,62
"__ia32_compat_sys_epoll_pwait2","/linux-6.6/kernel/sys_ni.c",2424,2429
"print_hex_dump","/linux-6.6/lib/hexdump.c",261,292
"__ia32_sys_process_madvise","/linux-6.6/kernel/sys_ni.c",185,185
"__ia32_sys_process_madvise","/linux-6.6/kernel/sys_ni.c",185,1467
"__ia32_sys_process_madvise","/linux-6.6/kernel/sys_ni.c",1466,185
"__ia32_sys_process_madvise","/linux-6.6/kernel/sys_ni.c",1466,1467
"__ia32_sys_process_madvise","/linux-6.6/mm/madvise.c",185,185
"__ia32_sys_process_madvise","/linux-6.6/mm/madvise.c",185,1467
"__ia32_sys_process_madvise","/linux-6.6/mm/madvise.c",1466,185
"__ia32_sys_process_madvise","/linux-6.6/mm/madvise.c",1466,1467
"console_init","/linux-6.6/arch/x86/boot/early_serial_console.c",148,154
"console_init","/linux-6.6/kernel/printk/printk.c",3649,3671
"__cast6_decrypt","/linux-6.6/crypto/cast6_generic.c",209,238
"__x64_compat_sys_pwritev64","/linux-6.6/fs/read_write.c",1140,1142
"__ia32_sys_faccessat2","/linux-6.6/fs/open.c",534,535
"__x64_compat_sys_preadv64","/linux-6.6/fs/read_write.c",1099,1101
"__ia32_sys_pidfd_getfd","/linux-6.6/kernel/pid.c",725,726
"__ia32_sys_openat2","/linux-6.6/fs/open.c",1456,1457
"__serpent_encrypt","/linux-6.6/crypto/serpent_generic.c",458,507
"__x64_sys_move_pages","/linux-6.6/kernel/sys_ni.c",192,192
"__x64_sys_move_pages","/linux-6.6/kernel/sys_ni.c",192,2445
"__x64_sys_move_pages","/linux-6.6/kernel/sys_ni.c",2442,192
"__x64_sys_move_pages","/linux-6.6/kernel/sys_ni.c",2442,2445
"__x64_sys_move_pages","/linux-6.6/mm/migrate.c",192,192
"__x64_sys_move_pages","/linux-6.6/mm/migrate.c",192,2445
"__x64_sys_move_pages","/linux-6.6/mm/migrate.c",2442,192
"__x64_sys_move_pages","/linux-6.6/mm/migrate.c",2442,2445
"enable_a20","/linux-6.6/arch/x86/boot/a20.c",128,163
"__ia32_sys_close_range","/linux-6.6/fs/open.c",1595,1596
"des3_ede_expand_key","/linux-6.6/lib/crypto/des.c",823,841
"__ia32_sys_clone3","/linux-6.6/kernel/fork.c",82,82
"__ia32_sys_clone3","/linux-6.6/kernel/fork.c",82,3194
"__ia32_sys_clone3","/linux-6.6/kernel/fork.c",3194,82
"__ia32_sys_clone3","/linux-6.6/kernel/fork.c",3194,3194
"__ia32_sys_clone3","/linux-6.6/kernel/sys_ni.c",82,82
"__ia32_sys_clone3","/linux-6.6/kernel/sys_ni.c",82,3194
"__ia32_sys_clone3","/linux-6.6/kernel/sys_ni.c",3194,82
"__ia32_sys_clone3","/linux-6.6/kernel/sys_ni.c",3194,3194
"kasan_check_read","/linux-6.6/include/linux/kasan-checks.h",40,43
"__x64_sys_vmsplice","/linux-6.6/fs/splice.c",1532,1533
"hex_dump_to_buffer","/linux-6.6/lib/hexdump.c",127,226
"__cast6_encrypt","/linux-6.6/crypto/cast6_generic.c",172,201
"serpent_setkey","/linux-6.6/crypto/serpent_generic.c",452,455
"initregs","/linux-6.6/arch/x86/boot/regs.c",19,27
"__cmdline_find_option_bool","/linux-6.6/arch/x86/boot/cmdline.c",100,156
"__cmdline_find_option_bool","/linux-6.6/arch/x86/lib/cmdline.c",30,106
"__ia32_sys_pidfd_open","/linux-6.6/kernel/pid.c",627,627
"cast6_setkey","/linux-6.6/crypto/cast6_generic.c",146,149
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/futex/syscalls.c",88,88
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/futex/syscalls.c",88,323
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/futex/syscalls.c",321,88
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/futex/syscalls.c",321,323
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/sys_ni.c",88,88
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/sys_ni.c",88,323
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/sys_ni.c",321,88
"__x64_compat_sys_get_robust_list","/linux-6.6/kernel/sys_ni.c",321,323
"__printk_cpu_sync_put","/linux-6.6/kernel/printk/printk.c",4315,4347
"__printk_cpu_sync_wait","/linux-6.6/kernel/printk/printk.c",4244,4249
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/futex/syscalls.c",86,86
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/futex/syscalls.c",86,311
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/futex/syscalls.c",309,86
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/futex/syscalls.c",309,311
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/sys_ni.c",86,86
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/sys_ni.c",86,311
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/sys_ni.c",309,86
"__x64_compat_sys_set_robust_list","/linux-6.6/kernel/sys_ni.c",309,311
"__cast6_setkey","/linux-6.6/crypto/cast6_generic.c",106,143
"printf","/linux-6.6/arch/x86/boot/printf.c",294,307
"__ia32_sys_fspick","/linux-6.6/fs/fsopen.c",158,158
"sm4_expandkey","/linux-6.6/crypto/sm4.c",119,151
"__printk_cpu_sync_try_get","/linux-6.6/kernel/printk/printk.c",4263,4305
"detect_memory","/linux-6.6/arch/x86/boot/memory.c",116,123
"__x64_compat_sys_waitid","/linux-6.6/kernel/exit.c",1846,1849
"printk_trigger_flush","/linux-6.6/kernel/printk/printk.c",3907,3910
"__ia32_sys_fsmount","/linux-6.6/fs/namespace.c",3929,3930
"dump_stack","/linux-6.6/lib/dump_stack.c",111,114
"dump_stack_lvl","/linux-6.6/lib/dump_stack.c",97,108
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/kexec.c",91,91
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/kexec.c",91,264
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/kexec.c",261,91
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/kexec.c",261,264
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/sys_ni.c",91,91
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/sys_ni.c",91,264
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/sys_ni.c",261,91
"__x64_compat_sys_kexec_load","/linux-6.6/kernel/sys_ni.c",261,264
"des_expand_key","/linux-6.6/lib/crypto/des.c",699,705
"variable_test_bit","/linux-6.6/arch/x86/boot/bitops.h",25,32
"variable_test_bit","/linux-6.6/arch/x86/include/asm/bitops.h",224,234
"__ia32_sys_fsconfig","/linux-6.6/fs/fsopen.c",349,354
"getchar_timeout","/linux-6.6/arch/x86/boot/tty.c",117,136
"__x64_compat_sys_mq_notify","/linux-6.6/ipc/mqueue.c",115,115
"__x64_compat_sys_mq_notify","/linux-6.6/ipc/mqueue.c",115,1575
"__x64_compat_sys_mq_notify","/linux-6.6/ipc/mqueue.c",1574,115
"__x64_compat_sys_mq_notify","/linux-6.6/ipc/mqueue.c",1574,1575
"__x64_compat_sys_mq_notify","/linux-6.6/kernel/sys_ni.c",115,115
"__x64_compat_sys_mq_notify","/linux-6.6/kernel/sys_ni.c",115,1575
"__x64_compat_sys_mq_notify","/linux-6.6/kernel/sys_ni.c",1574,115
"__x64_compat_sys_mq_notify","/linux-6.6/kernel/sys_ni.c",1574,1575
"show_regs_print_info","/linux-6.6/lib/dump_stack.c",80,83
"__ia32_sys_fsopen","/linux-6.6/fs/fsopen.c",115,115
"dump_stack_print_info","/linux-6.6/lib/dump_stack.c",55,71
"__x64_compat_sys_timer_create","/linux-6.6/kernel/time/posix-timers.c",545,547
"crypto_nhpoly1305_final_helper","/linux-6.6/crypto/nhpoly1305.c",198,215
"des3_ede_decrypt","/linux-6.6/lib/crypto/des.c",873,899
"sanitize_boot_params","/linux-6.6/arch/x86/include/asm/bootparam_utils.h",35,89
"__kasan_check_write","/linux-6.6/include/linux/kasan-checks.h",26,29
"__kasan_check_write","/linux-6.6/mm/kasan/shadow.c",35,38
"__ia32_sys_move_mount","/linux-6.6/fs/namespace.c",4058,4061
"__serpent_setkey","/linux-6.6/crypto/serpent_generic.c",269,449
"__ia32_sys_open_tree","/linux-6.6/fs/namespace.c",2687,2687
"dump_stack_set_arch_desc","/linux-6.6/lib/dump_stack.c",30,38
"setup_log_buf","/linux-6.6/kernel/printk/printk.c",1124,1238
"__x64_compat_sys_sigaltstack","/linux-6.6/kernel/signal.c",4327,4329
"log_buf_vmcoreinfo_setup","/linux-6.6/kernel/printk/printk.c",966,1023
"restore_signal_shadow_stack","/linux-6.6/arch/x86/kernel/shstk.c",381,403
"__x64_compat_sys_rt_sigqueueinfo","/linux-6.6/kernel/signal.c",4043,4046
"__x64_compat_sys_rt_sigtimedwait_time64","/linux-6.6/kernel/signal.c",3729,3731
"parse_console_uart8250","/linux-6.6/arch/x86/boot/early_serial_console.c",117,146
"alternatives_text_reserved","/linux-6.6/arch/x86/kernel/alternative.c",1390,1411
"__ia32_sys_io_uring_register","/linux-6.6/io_uring/io_uring.c",53,53
"__ia32_sys_io_uring_register","/linux-6.6/io_uring/io_uring.c",53,4568
"__ia32_sys_io_uring_register","/linux-6.6/io_uring/io_uring.c",4567,53
"__ia32_sys_io_uring_register","/linux-6.6/io_uring/io_uring.c",4567,4568
"__ia32_sys_io_uring_register","/linux-6.6/kernel/sys_ni.c",53,53
"__ia32_sys_io_uring_register","/linux-6.6/kernel/sys_ni.c",53,4568
"__ia32_sys_io_uring_register","/linux-6.6/kernel/sys_ni.c",4567,53
"__ia32_sys_io_uring_register","/linux-6.6/kernel/sys_ni.c",4567,4568
"log_buf_len_get","/linux-6.6/kernel/printk/printk.c",543,546
"__ia32_sys_io_uring_enter","/linux-6.6/io_uring/io_uring.c",52,52
"__ia32_sys_io_uring_enter","/linux-6.6/io_uring/io_uring.c",52,3603
"__ia32_sys_io_uring_enter","/linux-6.6/io_uring/io_uring.c",3601,52
"__ia32_sys_io_uring_enter","/linux-6.6/io_uring/io_uring.c",3601,3603
"__ia32_sys_io_uring_enter","/linux-6.6/kernel/sys_ni.c",52,52
"__ia32_sys_io_uring_enter","/linux-6.6/kernel/sys_ni.c",52,3603
"__ia32_sys_io_uring_enter","/linux-6.6/kernel/sys_ni.c",3601,52
"__ia32_sys_io_uring_enter","/linux-6.6/kernel/sys_ni.c",3601,3603
"__x64_compat_sys_rt_sigpending","/linux-6.6/kernel/signal.c",3265,3266
"log_buf_addr_get","/linux-6.6/kernel/printk/printk.c",537,540
"setup_signal_shadow_stack","/linux-6.6/arch/x86/kernel/shstk.c",347,379
"__ia32_sys_io_uring_setup","/linux-6.6/io_uring/io_uring.c",51,51
"__ia32_sys_io_uring_setup","/linux-6.6/io_uring/io_uring.c",51,4107
"__ia32_sys_io_uring_setup","/linux-6.6/io_uring/io_uring.c",4106,51
"__ia32_sys_io_uring_setup","/linux-6.6/io_uring/io_uring.c",4106,4107
"__ia32_sys_io_uring_setup","/linux-6.6/kernel/sys_ni.c",51,51
"__ia32_sys_io_uring_setup","/linux-6.6/kernel/sys_ni.c",51,4107
"__ia32_sys_io_uring_setup","/linux-6.6/kernel/sys_ni.c",4106,51
"__ia32_sys_io_uring_setup","/linux-6.6/kernel/sys_ni.c",4106,4107
"__x64_compat_sys_ptrace","/linux-6.6/kernel/ptrace.c",1417,1418
"wake_up_klogd","/linux-6.6/kernel/printk/printk.c",3881,3884
"printk_timed_ratelimit","/linux-6.6/kernel/printk/printk.c",3952,3962
"__ia32_sys_pidfd_send_signal","/linux-6.6/kernel/signal.c",3882,3883
"shstk_free","/linux-6.6/arch/x86/kernel/shstk.c",405,441
"__printk_ratelimit","/linux-6.6/kernel/printk/printk.c",3937,3940
"__x64_compat_sys_execve","/linux-6.6/fs/exec.c",2129,2131
"gs","/linux-6.6/arch/x86/boot/boot.h",69,74
"__printk_safe_exit","/linux-6.6/kernel/printk/printk_safe.c",24,27
"crypto_nhpoly1305_final","/linux-6.6/crypto/nhpoly1305.c",218,221
"detect_memory_88","/linux-6.6/arch/x86/boot/memory.c",105,114
"__printk_safe_enter","/linux-6.6/kernel/printk/printk_safe.c",18,21
"des3_ede_encrypt","/linux-6.6/lib/crypto/des.c",844,870
"__kasan_check_read","/linux-6.6/include/linux/kasan-checks.h",22,25
"__kasan_check_read","/linux-6.6/mm/kasan/shadow.c",29,32
"__x64_compat_sys_recvmsg","/linux-6.6/kernel/sys_ni.c",162,162
"__x64_compat_sys_recvmsg","/linux-6.6/kernel/sys_ni.c",162,379
"__x64_compat_sys_recvmsg","/linux-6.6/kernel/sys_ni.c",378,162
"__x64_compat_sys_recvmsg","/linux-6.6/kernel/sys_ni.c",378,379
"__x64_compat_sys_recvmsg","/linux-6.6/net/compat.c",162,162
"__x64_compat_sys_recvmsg","/linux-6.6/net/compat.c",162,379
"__x64_compat_sys_recvmsg","/linux-6.6/net/compat.c",378,162
"__x64_compat_sys_recvmsg","/linux-6.6/net/compat.c",378,379
"_printk_deferred","/linux-6.6/kernel/printk/printk.c",3917,3927
"crypto_nhpoly1305_update_helper","/linux-6.6/crypto/nhpoly1305.c",155,188
"alternatives_enable_smp","/linux-6.6/arch/x86/kernel/alternative.c",1364,1384
"__ia32_sys_sched_rr_get_interval","/linux-6.6/kernel/sched/core.c",9131,9132
"des_decrypt","/linux-6.6/lib/crypto/des.c",802,820
"vga_probe","/linux-6.6/arch/x86/boot/video-vga.c",231,280
"__ia32_sys_futex","/linux-6.6/kernel/futex/syscalls.c",83,83
"__ia32_sys_futex","/linux-6.6/kernel/futex/syscalls.c",83,166
"__ia32_sys_futex","/linux-6.6/kernel/futex/syscalls.c",164,83
"__ia32_sys_futex","/linux-6.6/kernel/futex/syscalls.c",164,166
"__ia32_sys_futex","/linux-6.6/kernel/sys_ni.c",83,83
"__ia32_sys_futex","/linux-6.6/kernel/sys_ni.c",83,166
"__ia32_sys_futex","/linux-6.6/kernel/sys_ni.c",164,83
"__ia32_sys_futex","/linux-6.6/kernel/sys_ni.c",164,166
"bios_probe","/linux-6.6/arch/x86/boot/video-bios.c",61,116
"__ia32_compat_sys_rt_sigtimedwait_time64","/linux-6.6/kernel/signal.c",3729,3731
"_printk","/linux-6.6/kernel/printk/printk.c",2326,2336
